"","keyword","tf","df"
"807","Fernand Braudel",1,1
"808","Fernando Flores",1,1
"809","Fineman",5,1
"810","Fischler",2,1
"811","Foskett",1,1
"812","Francia",1,1
"813","Friese",1,1
"814","Gaard",1,1
"815","Garnham",1,1
"816","Gauntlett",1,1
"817","Geddes",1,1
"818","George Herbert Mead",1,1
"819","George Woodcock",1,1
"820","Gere",1,1
"821","Gillborn",1,1
"822","Giorgio Agamben",1,1
"823","Gioseffo Zarlino",1,1
"824","Goldmann",1,1
"825","Golomb",1,1
"826","Gregory Bateson",2,1
"827","Greta Gaard",1,1
"828","Grice",1,1
"829","Guido of Arezzo",1,1
"830","Harlow",1,1
"831","Herbert Marcuse",1,1
"832","Hildenbrand",3,1
"833","Hurst",1,1
"834","Hussain",1,1
"835","Ihab Hassan",1,1
"836","Immanuel Wallerstein",1,1
"837","Innis",5,1
"838","Irigaray",1,1
"839","Isaacs",1,1
"840","Jack Goody",1,1
"841","James Tenney",1,1
"842","Jean-Jacques Rousseau",2,1
"843","Jean le Rond d'Alembert",1,1
"844","Johann David Heinichen",3,1
"845","John Ellis",1,1
"846","John Law",2,1
"847","John Rahn",1,1
"848","John Ruskin",1,1
"849","Jonathan Dollimore",1,1
"850","Jury",1,1
"851","Kafer",1,1
"852","Kantorovich",1,1
"853","Kara Keeling",1,1
"854","Karl Marx",1,1
"855","Keeling",2,1
"856","Kenneth Muir",1,1
"857","Kevin Warwick",1,1
"858","Kircher",1,1
"859","Kirnberger",1,1
"860","Klatte",1,1
"861","Klaus Krippendorff",1,1
"862","Kobayashi",2,1
"863","Kosofsky Sedgwick",1,1
"864","Kreps",1,1
"865","Kristin Thompson",1,1
"866","Kulick",1,1
"867","Kushner",1,1
"868","Laclau",1,1
"869","Lance Strate",1,1
"870","Lasswell",2,1
"871","Leatherbarrow",1,1
"872","Lefkowitz",1,1
"873","Lefort",2,1
"874","Leo Braudy",1,1
"875","Leon Battista Alberti",1,1
"876","Levinas",1,1
"877","Lewin",1,1
"878","Luxemburg",1,1
"879","Macksey",1,1
"880","Maffei",1,1
"881","Mannoni",1,1
"882","Marc Bloch",1,1
"883","Marcuse",1,1
"884","Martianus Capella",1,1
"885","Martin Scorsese",1,1
"886","Martini",1,1
"887","Mary Wollstonecraft",1,1
"888","Massumi",1,1
"889","Matus",1,1
"890","Max Horkheimer",1,1
"891","Mbembe",1,1
"892","McIntosh",1,1
"893","McKean",2,1
"894","McKinney",5,1
"895","McLaren",1,1
"896","McQuail",1,1
"897","Meissner",1,1
"898","Memmi",2,1
"899","Meyer Schapiro",1,1
"900","Miliband",1,1
"901","Minh-ha",1,1
"902","Misra",1,1
"903","Mosca",24,1
"904","Mostafavi",1,1
"905","Mouffe",1,1
"906","Mulhall",1,1
"907","Mulvey",1,1
"908","Murch",1,1
"909","Nam June Paik",1,1
"910","Naomi Schor",1,1
"911","Negri",1,1
"912","Nei",1,1
"913","Nicholas Garnham",1,1
"914","Nicole Ellison",1,1
"915","Notker Labeo",1,1
"916","Nyquist",1,1
"917","O'Regan",1,1
"918","Ohta",1,1
"919","Oliver Grau",1,1
"920","Opitz",1,1
"921","Otto Neurath",1,1
"922","Pablo Neruda",2,1
"923","Palumbo",1,1
"924","Panitch",1,1
"925","Paul Kennedy",1,1
"926","Peet",1,1
"927","Percival",1,1
"928","Pettman",1,1
"929","Phipps",1,1
"930","Pias",11,1
"931","Piro",2,1
"932","Pitirim Sorokin",1,1
"933","Politzer",1,1
"934","Pollen",1,1
"935","Postman",4,1
"936","Povinelli",3,1
"937","Praetorius",1,1
"938","Prasad",1,1
"939","Priestley",1,1
"940","Pudovkin",1,1
"941","Quantz",1,1
"942","Quigley",3,1
"943","Quijano",2,1
"944","Quintilian",17,1
"945","Raja",1,1
"946","Raphael Samuel",1,1
"947","Regard",1,1
"948","Rey Chow",1,1
"949","Riemann",1,1
"950","Rinaldi",1,1
"951","Roeper",1,1
"952","Rorty",1,1
"953","Ross Ashby",1,1
"954","Rossi",1,1
"955","Rovner",2,1
"956","Roxane Gay",1,1
"957","Rudolf Arnheim",1,1
"958","Rudolph Reti",2,1
"959","Rus",1,1
"960","Sargeant",2,1
"961","Schenk",1,1
"962","Schillinger",1,1
"963","Schmucker",1,1
"964","Schoell",1,1
"965","Seger",1,1
"966","Semper",1,1
"967","Seyla Benhabib",1,1
"968","Shanken",1,1
"969","Shastri",1,1
"970","Shaviro",5,1
"971","Sheila Cavanagh",1,1
"972","Siegfried Kracauer",1,1
"973","Simon Buckingham",3,1
"974","Simone de Beauvoir",1,1
"975","Smale",2,1
"976","Smythe",1,1
"977","Sollers",1,1
"978","Sonnenschein",1,1
"979","Sorokin",1,1
"980","Spielberg",1,1
"981","Spivak",1,1
"982","Steven Shaviro",1,1
"983","Stokowski",2,1
"984","Strate",1,1
"985","Sugiyama",1,1
"986","Sunstein",2,1
"987","Sutcliffe",1,1
"988","Tankard",1,1
"989","Telemann",1,1
"990","Tenney",1,1
"991","Teresa de Lauretis",1,1
"992","Thomas Elsaesser",1,1
"993","Tiffin",1,1
"994","Toynbee",3,1
"995","Tracey",1,1
"996","Trotsky",1,1
"997","Unger",3,1
"998","Uno",1,1
"999","Vsevolod Pudovkin",1,1
"1000","Wadsworth",1,1
"1001","Wallerstein",3,1
"1002","Walter Murch",1,1
"1003","Wassily Leontief",1,1
"1004","Watterson",1,1
"1005","Wendt",1,1
"1006","Wendy Brown",2,1
"1007","Westphal",1,1
"1008","Whittle",2,1
"1009","Wilbur Schramm",1,1
"1010","Wilden",2,1
"1011","Wollstonecraft",1,1
"1012","Woodcock",1,1
"1013","Wyner",6,1
"1014","Wythoff",2,1
"1015","Yandle",1,1
"1016","Zalta",1,1
"1017","Zarlino",1,1
"1018","Zeigler",2,1
"1019","Zillig",1,1
