"","keyword","tf","df"
"568","Lerdahl",18,5
"569","Lewin",5,5
"570","Lewis Mumford",5,5
"571","Lorenz",35,5
"572","Lotman",9,5
"573","Loy",5,5
"574","Luhmann",10,5
"575","Malinowski",6,5
"576","Martini",13,5
"577","Meissner",34,5
"578","Merton",5,5
"579","Pohl",6,5
"580","Rorty",6,5
"581","Rossi",5,5
"582","Schäfer",9,5
"583","Schumacher",5,5
"584","Terry Eagleton",5,5
"585","Tseng",5,5
"586","von Neumann",14,5
"587","Zielinski",14,5
"588","Ainsworth",6,4
"589","Alan Moore",12,4
"590","Anthony Trollope",7,4
"591","Ashby",9,4
"592","bell hooks",6,4
"593","Bellman",7,4
"594","Benedetti",4,4
"595","Benedetto",5,4
"596","Blanchard",5,4
"597","Brecht",12,4
"598","Bryson",4,4
"599","Cage",5,4
"600","Casa",7,4
"601","Cass",17,4
"602","Christiane Paul",4,4
"603","Chua",7,4
"604","Cone",23,4
"605","d'Alembert",5,4
"606","David Bordwell",4,4
"607","de Man",5,4
"608","Dilthey",4,4
"609","Donnelly",4,4
"610","Downs",4,4
"611","Dressler",5,4
"612","Farina",7,4
"613","Follett",7,4
"614","Fraenkel",7,4
"615","Ghosh",47,4
"616","Grau",9,4
"617","Grice",6,4
"618","Halperin",5,4
"619","Hardt",4,4
"620","Harwood",4,4
"621","Herz",4,4
"622","Hook",20,4
"623","Hosmer",7,4
"624","Huberman",8,4
"625","Huffman",7,4
"626","Hurst",24,4
"627","Jacques Ellul",4,4
"628","Jakobsen",5,4
"629","Kincaid",11,4
"630","Ljung",4,4
"631","Maffei",6,4
"632","Mandel",4,4
"633","Mary Wollstonecraft",5,4
"634","McAdams",7,4
"635","Merleau-Ponty",5,4
"636","Moritz",4,4
"637","Moya Bailey",5,4
"638","Patrick Suppes",4,4
"639","Phelps",4,4
"640","Rahn",6,4
"641","Raja",5,4
"642","Ray Bradbury",4,4
"643","René Descartes",4,4
"644","Richard Dawkins",7,4
"645","Richard Rorty",5,4
"646","Rus",4,4
"647","San Juan",5,4
"648","Schenk",5,4
"649","Sontag",6,4
"650","Stefan Kostka",4,4
"651","Suppes",13,4
"652","Tomlin",7,4
"653","Toscano",5,4
"654","Wilmot",4,4
"655","Ziegler",6,4
"656","Zillig",7,4
"657","Žižek",19,4
"658","Allais",4,3
"659","Babbitt",4,3
"660","Birkhoff",8,3
"661","Bonini",3,3
"662","Boulez",3,3
"663","Brenner",5,3
"664","Brownlow",5,3
"665","Callon",4,3
"666","Cassiodorus",4,3
"667","Champlin",4,3
"668","Charles Sanders Peirce",3,3
"669","Chew",4,3
"670","Chiari",4,3
"671","Crittenden",3,3
"672","David Harvey",3,3
"673","Donato",3,3
"674","Donovan",12,3
"675","Douglas Rushkoff",3,3
"676","Drummond",4,3
"677","Ebert",3,3
"678","Eros",3,3
"679","Eugene Thacker",3,3
"680","Friedrich Nietzsche",3,3
"681","Fromm",5,3
"682","Galilei",3,3
"683","Gerbner",8,3
"684","Gerhardt",3,3
"685","Gramsci",3,3
"686","Harlow",3,3
"687","Hauptmann",3,3
"688","Horne",9,3
"689","Ishmael",3,3
"690","Itoh",4,3
"691","Juhasz",8,3
"692","Karl Marx",3,3
"693","Kenneth Muir",3,3
"694","Kimura",3,3
"695","Kliman",3,3
"696","Lévy",4,3
"697","Lorber",3,3
"698","Lorde",4,3
"699","Lovejoy",3,3
"700","Luxemburg",3,3
"701","Maher",4,3
"702","McKinney",7,3
"703","McNally",4,3
"704","Mehdi",3,3
"705","Milton Babbitt",3,3
"706","Neil Postman",4,3
"707","Ogburn",3,3
"708","Paul de Man",3,3
"709","Pierre Bourdieu",4,3
"710","Prasad",4,3
"711","Priest",3,3
"712","Pythagoras",5,3
"713","Quigley",5,3
"714","Regard",3,3
"715","Reichardt",5,3
"716","Ribeiro",4,3
"717","Riemann",3,3
"718","Rival",3,3
"719","Rothman",6,3
"720","Schoenberg",3,3
"721","Seraji",9,3
"722","Sergei Eisenstein",3,3
"723","Sheehan",3,3
"724","Shklovsky",3,3
"725","Showalter",5,3
"726","Siegfried Zielinski",3,3
"727","Simone de Beauvoir",3,3
"728","Sorokin",4,3
"729","Spitz",5,3
"730","Stam",4,3
"731","Stiegler",6,3
"732","Strindberg",3,3
"733","Sugiyama",3,3
"734","Tenney",3,3
"735","Tiffin",4,3
"736","Tracey",4,3
"737","Tron",4,3
"738","Trotsky",3,3
"739","Wadsworth",6,3
"740","Warnock",3,3
"741","Wille",8,3
"742","Wollstonecraft",7,3
"743","Wyner",8,3
"744","Abramson",2,2
"745","Adkins",2,2
"746","Agamben",11,2
"747","Akrich",5,2
"748","Albertus Magnus",2,2
"749","Althusser",3,2
"750","Amin",2,2
"751","Antonio Gramsci",2,2
"752","Arezzo",2,2
"753","Audre Lorde",3,2
"754","Baran",2,2
"755","Barone",3,2
"756","Bataille",2,2
"757","Bateson",3,2
"758","Baudry",2,2
"759","Baym",2,2
"760","Bazin",2,2
"761","Beauvoir",3,2
"762","Beebe",4,2
"763","Bertolt Brecht",3,2
"764","Bose",3,2
"765","Bourgeois",2,2
"766","Brockett",2,2
"767","Bushnell",3,2
"768","Carl Czerny",3,2
"769","Cavanagh",2,2
"770","Cavell",2,2
"771","Chatterjee",2,2
"772","Clover",2,2
"773","Crenshaw",8,2
"774","Crist",4,2
"775","Czerny",9,2
"776","David Hawkes",6,2
"777","Dawes",12,2
"778","de Quincy",5,2
"779","Debord",6,2
"780","Dick Higgins",2,2
"781","Doty",8,2
"782","Edgeworth",3,2
"783","Ehrmann",9,2
"784","Elizabeth Grosz",2,2
"785","Ernst Bloch",2,2
"786","Ewell",2,2
"787","Fanon",2,2
"788","Feeney",2,2
"789","Fernand Braudel",2,2
"790","Fernando Flores",2,2
"791","Fineman",14,2
"792","Gabel",6,2
"793","Gandhi",3,2
"794","Garnham",2,2
"795","Geddes",2,2
"796","Gere",2,2
"797","Giorgio Agamben",3,2
"798","Girard",3,2
"799","Goldmann",2,2
"800","Gonda",19,2
"801","Gottfried Keller",2,2
"802","Grams",3,2
"803","Hao",2,2
"804","Hardcastle",3,2
"805","Hillis Miller",2,2
"806","Hubbell",2,2
"807","Imai",2,2
"808","Innis",7,2
"809","Isaacs",2,2
"810","Isbell",3,2
"811","Jean-Jacques Rousseau",3,2
"812","Jean-Luc Nancy",2,2
"813","John Cage",2,2
"814","John Searle",2,2
"815","Jukes",2,2
"816","Kircher",2,2
"817","Klaus Krippendorff",2,2
"818","Kobayashi",3,2
"819","Kracauer",22,2
"820","Kroker",7,2
"821","Kruger",2,2
"822","Krylov",2,2
"823","Kushner",3,2
"824","Lasswell",4,2
"825","Leon Battista Alberti",3,2
"826","Lindström",7,2
"827","Lukács",10,2
"828","Macfarlane",2,2
"829","MacKay",4,2
"830","Marc Bloch",2,2
"831","Mark Poster",2,2
"832","Martianus Capella",2,2
"833","Massumi",3,2
"834","McLaren",2,2
"835","Michael Bull",3,2
"836","Michael Hardt",2,2
"837","Michael Warner",2,2
"838","Montag",3,2
"839","Motte",10,2
"840","Nam June Paik",2,2
"841","Nancy Fraser",2,2
"842","Niklas Luhmann",2,2
"843","O'Keefe",2,2
"844","Oliver Grau",2,2
"845","Opitz",2,2
"846","Pablo Neruda",3,2
"847","Palladio",2,2
"848","Pasquale",3,2
"849","Perret",2,2
"850","Pierre Boulez",2,2
"851","Pierre Lévy",2,2
"852","Pierre Schaeffer",3,2
"853","Politzer",2,2
"854","Praetorius",2,2
"855","Priestley",2,2
"856","Robert Morris",2,2
"857","Rushkoff",6,2
"858","Salazar",2,2
"859","Sallis",2,2
"860","Scanlon",2,2
"861","Schachter",2,2
"862","Schopenhauer",5,2
"863","Schramm",5,2
"864","Sedgwick",2,2
"865","Shanken",2,2
"866","Slavoj Žižek",2,2
"867","Smythe",3,2
"868","Stacey",3,2
"869","Strogatz",5,2
"870","Stumpf",3,2
"871","Sunstein",3,2
"872","Sutcliffe",2,2
"873","Swinney",2,2
"874","Symonds",4,2
"875","Tankard",2,2
"876","Tarski",2,2
"877","Tyrrell",2,2
"878","Uno",2,2
"879","Unruh",3,2
"880","Vladimir Levenshtein",2,2
"881","Whiting",3,2
"882","Woodcock",2,2
"883","Ackermann",1,1
"884","Akan",1,1
"885","Alexandra Juhasz",1,1
"886","Amitav Ghosh",2,1
"887","André Bazin",1,1
"888","Andrea Palladio",1,1
"889","Andrew Sarris",2,1
"890","Anna Morris",1,1
"891","Anthony Wilden",1,1
"892","Antonio Negri",1,1
"893","Anzaldúa",1,1
"894","Aris",2,1
"895","Arnold Schoenberg",1,1
"896","Asante",1,1
"897","August Strindberg",1,1
"898","Auguste Comte",1,1
"899","Aumont",1,1
"900","Aviezri Fraenkel",1,1
"901","Azfar Hussain",1,1
"902","Bachelard",1,1
"903","Balakrishnan",1,1
"904","Barbour",1,1
"905","Barbu",1,1
"906","Barrell",2,1
"907","Battista Alberti",1,1
"908","Beller",1,1
"909","Beneš",1,1
"910","Benford",2,1
"911","Benincasa",1,1
"912","Bennington",1,1
"913","Berardi",1,1
"914","Bernard Stiegler",1,1
"915","Bernardi",1,1
"916","Bersani",1,1
"917","Bettelheim",1,1
"918","Bhabha",1,1
"919","Bhattacharya",6,1
"920","Bill Nichols",1,1
"921","Bonitzer",1,1
"922","Boothby",1,1
"923","Bowlby",1,1
"924","Branco",1,1
"925","Braudy",2,1
"926","Breakwell",1,1
"927","Brian O'Connor",1,1
"928","Brogan",3,1
"929","Bronner",1,1
"930","Brossard",1,1
"931","Buick",2,1
"932","Burkhart",2,1
"933","Califia",1,1
"934","Callinicos",1,1
"935","Cardoso",3,1
"936","Carinthia",1,1
"937","Carrera",2,1
"938","Casagrande",1,1
"939","Cass Sunstein",1,1
"940","Castañeda",4,1
"941","Caus",1,1
"942","Césaire",2,1
"943","Chaitin",1,1
"944","Chantal Mouffe",1,1
"945","Char Davies",1,1
"946","Chesebro",1,1
"947","Ciborra",1,1
"948","Claus Pias",1,1
"949","Colebrook",2,1
"950","Colletti",1,1
"951","Comte",1,1
"952","Corman",1,1
"953","da Firenze",1,1
"954","Dabashi",1,1
"955","Dantzig",1,1
"956","Dasgupta",1,1
"957","David Kolb",1,1
"958","David Lewin",1,1
"959","David Thomson",1,1
"960","de Jongh",1,1
"961","de Lauretis",1,1
"962","de Sola Pool",1,1
"963","Dehn",7,1
"964","Di Benedetto",1,1
"965","Dollimore",1,1
"966","Dominic Pettman",1,1
"967","Don Kulick",1,1
"968","Dowden",1,1
"969","Dumain",1,1
"970","Edelstein",3,1
"971","Edward Bernays",1,1
"972","Ellul",1,1
"973","Elsaesser",2,1
"974","Eric McLuhan",1,1
"975","Erlich",1,1
"976","Fano",2,1
"977","Fanti",2,1
"978","Federici",1,1
"979","Félix Guattari",1,1
"980","Fiske",1,1
"981","Flynt",1,1
"982","Forney",1,1
"983","Foskett",1,1
"984","Frantz Fanon",1,1
"985","Friese",1,1
"986","Frizer",1,1
"987","Gaard",1,1
"988","Gallup",1,1
"989","Gasparov",1,1
"990","Gauntlett",1,1
"991","Gayatri Chakravorty Spivak",1,1
"992","Gazzano",1,1
"993","George Herbert Mead",1,1
"994","George Russell",1,1
"995","George Woodcock",1,1
"996","Gillborn",1,1
"997","Gioseffo Zarlino",1,1
"998","Golomb",1,1
"999","Graham Phillips",1,1
"1000","Gregory Bateson",2,1
"1001","Greta Gaard",1,1
"1002","Grootendorst",2,1
